frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
0,7,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
10,7,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
20,7,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
30,7,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
40,7,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
50,7,7,7,0,0,1.0,1.0,1.0,6,1,1,0.857,0.857,0.857,6,1,1,0.857,0.857,0.857
60,7,7,6,1,1,0.857,0.857,0.857,6,1,1,0.857,0.857,0.857,6,1,1,0.857,0.857,0.857
70,7,7,6,1,1,0.857,0.857,0.857,6,1,1,0.857,0.857,0.857,6,1,1,0.857,0.857,0.857
80,9,8,8,0,1,1.0,0.889,0.941,8,0,1,1.0,0.889,0.941,8,0,1,1.0,0.889,0.941
90,9,8,8,0,1,1.0,0.889,0.941,8,0,1,1.0,0.889,0.941,8,0,1,1.0,0.889,0.941
