frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,7,7,0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0
10,7,7,0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0
20,7,7,0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0
30,7,7,1,6,1,1,0.857,0.857,0.857,0,1.0,0.923,6,1,1,0.857,0.857,0.857,0,1.0,0.923,6,1,1,0.857,0.857,0.857,0,1.0,0.923
40,7,7,0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0,7,0,0,1.0,1.0,1.0,0,1.0,1.0
50,7,6,0,6,0,1,1.0,0.857,0.923,0,1.0,0.923,6,0,1,1.0,0.857,0.923,0,1.0,0.923,6,0,1,1.0,0.857,0.923,0,1.0,0.923
60,7,6,0,6,0,1,1.0,0.857,0.923,0,1.0,0.923,6,0,1,1.0,0.857,0.923,0,1.0,0.923,6,0,1,1.0,0.857,0.923,0,1.0,0.923
70,7,6,0,6,0,1,1.0,0.857,0.923,0,1.0,0.923,6,0,1,1.0,0.857,0.923,0,1.0,0.923,6,0,1,1.0,0.857,0.923,0,1.0,0.923
80,9,7,0,7,0,2,1.0,0.778,0.875,0,1.0,0.875,7,0,2,1.0,0.778,0.875,0,1.0,0.875,7,0,2,1.0,0.778,0.875,0,1.0,0.875
90,9,7,0,7,0,2,1.0,0.778,0.875,0,1.0,0.875,7,0,2,1.0,0.778,0.875,0,1.0,0.875,7,0,2,1.0,0.778,0.875,0,1.0,0.875
